lat,long
-111.653403,35.19054029999999
-111.653403,35.19054029999999
-111.653403,35.19054029999999
-105.9504198,35.6819289
-112.0392466,46.59023080000001
-2.9730806,53.4036596
16.9154021,52.4083974
-2.8998193,53.2002807
NA,NA
-105.0865487,40.57341479999999
-91.0183155,41.4432643
0.0804001,52.2129554
-76.3058746,36.8853052
147.2921447,-42.9874916
-122.0596412,36.9980199
-77.10445969999999,39.0027771
8.580515499999999,53.53325539999999
-82.6327285,27.760802
3.6604072,43.3966196
-70.6711607,41.5242348
-4.065539999999999,48.453663
2.3522219,48.856614
-123.6043524,47.8021067
-4.2423927,55.862111
-4.2423927,55.862111
